Month,Store,Metric,Amount (Rs Lakhs)
April 2024,MAN,COGS (food +packaging),8.3867
April 2024,ECW-old,COGS (food +packaging),9.807
April 2024,MTP,COGS (food +packaging),3.6145
April 2024,ETV,COGS (food +packaging),0.0
April 2024,VIR,COGS (food +packaging),9.5255
April 2024,Tecno,COGS (food +packaging),0.0
April 2024,ARK,COGS (food +packaging),17.1965
April 2024,SIG,COGS (food +packaging),0.0
April 2024,HSR,COGS (food +packaging),24.7542
April 2024,CVR,COGS (food +packaging),3.3297
April 2024,SJP,COGS (food +packaging),0.0
April 2024,ORW,COGS (food +packaging),10.9817
April 2024,EST,COGS (food +packaging),11.1458
April 2024,ORE,COGS (food +packaging),0.0
April 2024,AUR,COGS (food +packaging),0.0
April 2024,JPN,COGS (food +packaging),18.422
April 2024,JPC,COGS (food +packaging),0.0
April 2024,PTP,COGS (food +packaging),0.0
April 2024,SEC,COGS (food +packaging),0.0
April 2024,SYH,COGS (food +packaging),16.7737
April 2024,ETF,COGS (food +packaging),7.4293
April 2024,GSC,COGS (food +packaging),4.8743
April 2024,PRI,COGS (food +packaging),0.0
April 2024,ECN,COGS (food +packaging),8.0653
April 2024,RGA,COGS (food +packaging),8.1299
April 2024,KNP,COGS (food +packaging),8.0634
April 2024,KCK,COGS (food +packaging),14.6125
April 2024,BVG,COGS (food +packaging),11.7386
April 2024,CLA,COGS (food +packaging),11.151
April 2024,IBC,COGS (food +packaging),4.0544
April 2024,BTG,COGS (food +packaging),6.7788
April 2024,ECT,COGS (food +packaging),14.4372
April 2024,RRR,COGS (food +packaging),9.2407
April 2024,SHV,COGS (food +packaging),10.499
April 2024,DCB,COGS (food +packaging),2.6854
April 2024,VBP,COGS (food +packaging),18.4415
April 2024,ADM,COGS (food +packaging),24.8927
April 2024,SFC,COGS (food +packaging),16.7771
April 2024,SCK,COGS (food +packaging),17.0764
April 2024,SES,COGS (food +packaging),10.4525
April 2024,JIG,COGS (food +packaging),17.4328
April 2024,GCN,COGS (food +packaging),12.7426
April 2024,ANN,COGS (food +packaging),12.5664
April 2024,SKO,COGS (food +packaging),15.0193
April 2024,JAP,COGS (food +packaging),9.3776
April 2024,DWR,COGS (food +packaging),10.4603
April 2024,AVK,COGS (food +packaging),9.827
April 2024,CYG,COGS (food +packaging),7.6319
April 2024,NSS,COGS (food +packaging),12.1764
April 2024,GEB,COGS (food +packaging),10.9137
April 2024,ROH,COGS (food +packaging),8.4292
April 2024,EKL,COGS (food +packaging),18.3909
April 2024,PBF,COGS (food +packaging),7.3534
April 2024,KBB,COGS (food +packaging),9.3329
April 2024,IHY,COGS (food +packaging),12.5755
April 2024,DCH,COGS (food +packaging),10.5239
April 2024,HAA,COGS (food +packaging),0.0
April 2024,SCH,COGS (food +packaging),9.092
April 2024,LTP,COGS (food +packaging),8.3725
April 2024,FSM,COGS (food +packaging),6.6461
April 2024,GSM,COGS (food +packaging),8.5071
April 2024,PPM,COGS (food +packaging),6.7323
April 2024,FLM,COGS (food +packaging),10.2843
April 2024,FDN,COGS (food +packaging),22.6756
April 2024,DTK,COGS (food +packaging),12.9312
April 2024,AKA,COGS (food +packaging),7.2515
April 2024,HIM,COGS (food +packaging),8.2036
April 2024,SMR,COGS (food +packaging),16.1538
April 2024,DLP,COGS (food +packaging),8.8966
April 2024,EXA,COGS (food +packaging),10.4205
April 2024,VRA,COGS (food +packaging),8.449
April 2024,CPM,COGS (food +packaging),8.1691
April 2024,KTP,COGS (food +packaging),12.4122
April 2024,CAR,COGS (food +packaging),6.5572
April 2024,VEL,COGS (food +packaging),9.904
April 2024,EGL,store Labor Cost,2.6239
April 2024,ITPL,store Labor Cost,6.3389
April 2024,RMZ,store Labor Cost,2.524
April 2024,KOR,store Labor Cost,4.2023
April 2024,INB,store Labor Cost,0.0
April 2024,DIV,store Labor Cost,3.0237
April 2024,IND,store Labor Cost,5.3702
April 2024,BAG,store Labor Cost,2.9218
April 2024,ECO-old,store Labor Cost,0.0
April 2024,DLF,store Labor Cost,0.0
April 2024,MAN,store Labor Cost,3.0777
April 2024,ECW-old,store Labor Cost,3.0818
April 2024,MTP,store Labor Cost,2.1117
April 2024,ETV,store Labor Cost,0.0
April 2024,VIR,store Labor Cost,3.2083
April 2024,Tecno,store Labor Cost,0.0
April 2024,ARK,store Labor Cost,3.8905
