Month,Store,Metric,Amount,Percent of Net Sales
Apr 24,ECO-old,Net Sales,,
Apr 24,ECO-old,COGS (food +packaging),0.0,
Apr 24,ECO-old,Gross margin,0.0,
Apr 24,ECO-old,store Labor Cost,0.0,
Apr 24,ECO-old,Utility Cost,0.0,
Apr 24,ECO-old,CAM,0.0,
Apr 24,ECO-old,Aggregator commission,,
Apr 24,ECO-old,Marketing & advertisement,0.0,
Apr 24,ECO-old,Other opex expenses,0.0,
Apr 24,DLF,Gross Sales,,
Apr 24,DLF,Net Sales,,
Apr 24,DLF,COGS (food +packaging),0.0,
Apr 24,DLF,Gross margin,0.0,
Apr 24,DLF,store Labor Cost,0.0,
Apr 24,DLF,Utility Cost,0.0,
Apr 24,DLF,CAM,0.0,
Apr 24,DLF,Aggregator commission,,
Apr 24,DLF,Marketing & advertisement,0.0,
Apr 24,DLF,Other opex expenses,0.0,
Apr 24,MAN,Gross Sales,2327862.0,1.029645498931565
Apr 24,MAN,Net Sales,2260838.32,1.0
Apr 24,MAN,COGS (food +packaging),838665.7453365991,0.3709534370138415
Apr 24,MAN,Gross margin,1422172.574663401,0.6290465629861585
Apr 24,MAN,store Labor Cost,307769.039,0.1361304947272833
Apr 24,MAN,Utility Cost,99764.0,0.04412699445044792
Apr 24,MAN,CAM,0.0,0.0
Apr 24,MAN,Aggregator commission,205851.54,0.09105097793989976
Apr 24,MAN,Marketing & advertisement,53055.98,0.023467392396286
Apr 24,MAN,Other opex expenses,98414.15899999999,0.04352994114147888
Apr 24,ECW-old,Gross Sales,2855869.0,1.004078757812661
Apr 24,ECW-old,Net Sales,2844267.92,1.0
Apr 24,ECW-old,COGS (food +packaging),980695.8263444861,0.3447972743525815
Apr 24,ECW-old,Gross margin,1863572.093655514,0.6552027256474185
Apr 24,ECW-old,store Labor Cost,308182.819,0.10835224657739
Apr 24,ECW-old,Utility Cost,108047.0,0.03798763092613301
Apr 24,ECW-old,CAM,20355.0,0.007156498815343668
Apr 24,ECW-old,Aggregator commission,463169.74,0.1628432176670614
Apr 24,ECW-old,Marketing & advertisement,38227.65,0.01344024229616175
Apr 24,ECW-old,Other opex expenses,116349.3740000001,0.04090661543586235
Apr 24,MTP,Gross Sales,859810.0,1.050000034193602
Apr 24,MTP,Net Sales,818866.64,1.0
