month,store,aggregator_commission,cam,cogs_food_pluspackaging,gross_sales,marketing_&_advertisement,net_sales,other_opex_expenses,rent,utility_cost,store_labor_cost,total_outlet_expenses,outlet_ebitda
April 2024,ITPL,9.4976,0.0,25.2468,66.8198,1.1911,65.6578,1.9697,6.1504,1.7105,6.3389,52.105,13.552799999999998
April 2024,JAP,4.9829,0.0,9.3776,22.6669,1.997,22.6646,1.4387,0.3791,1.1853,2.6996,22.060200000000002,0.6043999999999983
April 2024,JIG,7.9342,0.0865,17.4328,42.8721,1.4798,42.5805,1.455,1.45,1.8076,3.9772,35.6231,6.9574
April 2024,JPC,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
April 2024,JPN,7.2381,0.0,18.422,47.7408,0.9037,47.0237,1.8685,4.8125,1.9562,5.1328,40.3338,6.6899000000000015
April 2024,KBB,4.5165,0.531,9.3329,21.7992,2.772,21.7352,1.2703,0.196,1.3342,2.8776,22.8305,-1.0953000000000017
April 2024,KCK,9.6236,0.0,14.6125,42.5764,0.8542,42.5752,1.6394,0.3828,1.6027,3.8194,32.5346,10.040600000000005
April 2024,KNP,3.0924,,8.0634,21.4534,1.8253,21.088,1.5595,1.4,1.022,2.7764,19.739,1.3490000000000002
April 2024,KOR,5.9667,0.0,15.4274,42.951,0.987,42.1576,1.8663,2.36,1.7813,4.2023,32.591,9.566600000000001
April 2024,KTP,3.9118,0.531,12.4122,33.9388,1.3641,33.1568,1.2124,2.7387,1.9556,4.1915,28.317300000000003,4.839499999999994
April 2024,LTP,3.258,0.4507,8.3725,23.8934,1.7225,23.4364,1.0313,2.0299,1.2879,3.9045,22.0573,1.3790999999999976
April 2024,MAN,2.0585,0.0,8.3867,23.2786,0.5306,22.6084,0.9841,2.6678,0.9976,3.0777,18.703,3.9054
April 2024,MTP,0.0,0.0,3.6145,8.5981,0.0515,8.1887,0.8487,1.1596,0.7933,2.1117,8.5793,-0.39059999999999917
April 2024,NSS,6.9827,0.0,12.1764,31.499,1.5261,31.4986,1.5303,0.47,1.1262,2.9823,26.794,4.704599999999999
April 2024,ORE,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
April 2024,ORW,1.7227,1.0762,10.9817,30.0939,3.974,29.0365,1.0918,4.5428,0.9751,3.2578,27.6221,1.4144000000000005
